x y
1.0 0.0
0.99984209464165 0.0010851765697885917
0.999368478303009 0.0012571573247853905
0.998579450130307 0.0014993058086439665
0.99747550849065 0.0017983779293835218
0.996057350657239 0.00215498010616266
0.994325872368957 0.0025770262223093585
0.992282167264603 0.0030451348434391763
0.989927526192123 0.003579523940227275
0.987263436393289 0.004179252268641296
0.984291580564316 0.004841721398962913
0.981013835793043 0.0055633837444439595
0.977432272373322 0.006339913471767155
0.973549152497372 0.00716643373121123
0.969366928826937 0.008038216468151348
0.964888242944126 0.008951167916454124
0.960115923682935 0.009901679617035171
0.955052985342498 0.01088632885021849
0.949702625783186 0.011902257953962339
0.944068224406772 0.012947176554311077
0.938153340021932 0.014019298805964309
0.931961708596418 0.015117510424642945
0.925497240897346 0.01624106180922136
0.918764020021071 0.01738978746827153
0.911766298814214 0.018563801325942764
0.904508497187474 0.0197627361435228
0.896995199323918 0.02098607803582376
0.889231150783512 0.022233000681143485
0.881221255505724 0.02350231570466682
0.872970572712091 0.024792649140517122
0.864484313710706 0.02610281695260864
0.855767838604643 0.027432209997050608
0.846826652906402 0.028780857477804015
0.837666404060512 0.030149575443420937
0.828292877876478 0.0315384171538172
0.818711994874345 0.032946319429087795
0.808929806545167 0.03437238313363959
0.798952491528759 0.035816233492794794
0.788786351711134 0.037276314540503536
0.778437808244094 0.03874870728970928
0.767913397489498 0.04022897014903001
0.757219766890753 0.04171308917442413
0.746363670774146 0.043196929047616864
0.735351966082666 0.04467587467368357
0.724191608045016 0.04614488904463682
0.712889645782536 0.04759933090472697
0.701453217856831 0.04903557046954701
0.689889547760901 0.05045020086036328
0.678205939356625 0.05183852761313598
0.666409772261493 0.05319710522377194
0.654508497187474 0.054522933710629856
0.642509631234988 0.0558136645712974
0.630420753144948 0.057066473857358135
0.618249498511862 0.058278488725589724
0.606003554961027 0.059446518295549436
0.593690657292862 0.06056818156250944
0.581318582597442 0.061641728240016964
0.568895145342319 0.06266548748611481
0.556428192436741 0.06363765994848089
0.543925598275372 0.06455675884978768
0.531395259764657 0.06542104682462645
0.518845091334967 0.06622853020852215
0.506283019941676 0.06697688267976627
0.493716980058324 0.06766437722986479
0.481154908665033 0.06829006272613748
0.468604740235343 0.06885358470157249
0.456074401724628 0.06935491293606663
0.443571807563259 0.06979420094198502
0.431104854657681 0.07017248649653675
0.418681417402558 0.07048926467554703
0.406309342707138 0.07074395918729445
0.393996445038973 0.07093650828879319
0.381750501488138 0.07106663263112029
0.369579246855052 0.07113351413377669
0.357490368765012 0.07113652413782465
0.345491502812526 0.07107473826091414
0.333590227738507 0.07094574577322793
0.321794060643375 0.0707479539196745
0.310110452239099 0.07048099059556392
0.298546782143169 0.07014494096287971
0.287110354217464 0.06974062791944743
0.275808391954984 0.0692691253733553
0.264648033917334 0.06873085151075299
0.253636329225854 0.06812538778241703
0.242780233109247 0.06745113160938285
0.232086602510502 0.06670571544270798
0.221562191755906 0.06588866255860029
0.211213648288866 0.0650007215858626
0.201047508471241 0.06404320847691125
0.191070193454833 0.06301774497325756
0.181288005125655 0.061926059995368446
0.171707122123522 0.060769450057114906
0.162333595939488 0.05954867954697756
0.153173347093597 0.05826493769960145
0.144232161395357 0.056920066628552424
0.135515686289294 0.055516149833216275
0.127029427287909 0.05405500312271729
0.118778744494276 0.052538081934452405
0.110768849216488 0.05096696081355097
0.103004800676082 0.04934383874755408
0.095491502812526 0.04767141723035959
0.088233701185786 0.0459522744566221
0.081235979978929 0.044188515564401586
0.074502759102654 0.042382189725372915
0.068038291403582 0.040536041385904296
0.061846659978068 0.03865388136443937
0.055931775593228 0.03674031203130848
0.050297374216814 0.034799996544437536
0.044947014657502 0.032836965966810246
0.039884076317065 0.030854403000537083
0.035111757055874 0.028855006885652002
0.030633071173063 0.026841745478322947
0.026450847502628 0.024818625842902266
0.022567727626679 0.02279111968120347
0.018986164206957 0.020766102431214753
0.015708419435684 0.01875136831745953
0.012736563606711 0.016754861208959505
0.010072473807877 0.014783723815947215
0.007717832735397 0.012843263582651771
0.005674127631043 0.010936031613353218
0.003942649342761 0.009061323846939884
0.00252449150935 0.007215416607975521
0.001420549869693 0.005392547175359169
0.000631521696991 0.003586264302592197
0.00015790535835 0.0017905120507856846
0.0 0.0
0.00015790535835 -0.0012067840101845034
0.000631521696991 -0.002405531751148887
0.001420549869693 -0.0035894584756576663
0.00252449150935 -0.004752940674392535
0.003942649342761 -0.005891807332534682
0.005674127631043 -0.007003202888474735
0.007717832735397 -0.008085177375023098
0.010072473807877 -0.009136257194917187
0.012736563606711 -0.010155208174298574
0.015708419435684 -0.011141034401068322
0.018986164206957 -0.012093087979359875
0.022567727626679 -0.01301113924456104
0.026450847502628 -0.013895347707395117
0.030633071173063 -0.01474615664403137
0.035111757055874 -0.015564152156394711
0.039884076317065 -0.01634991851994275
0.044947014657502 -0.0171039356548647
0.050297374216815 -0.017826570923080487
0.055931775593228 -0.01851817308734502
0.061846659978068 -0.01917921272015321
0.068038291403582 -0.01981033245488711
0.074502759102654 -0.02041218612571119
0.081235979978929 -0.020985142644579367
0.088233701185786 -0.021529104768440218
0.095491502812526 -0.02204356846581293
0.103004800676082 -0.022527847926325652
0.110768849216488 -0.022981287323502186
0.118778744494276 -0.023403403559724142
0.127029427287909 -0.023794071134327646
0.135515686289294 -0.024153652872986407
0.144232161395357 -0.024482678422107555
0.153173347093598 -0.02478142136590894
0.162333595939488 -0.025049758991014755
0.171707122123522 -0.025287359462231526
0.181288005125655 -0.025494167515460315
0.191070193454833 -0.025670629045814998
